, 16384, 23170, 32768, 46340
352C01, 0.2972972972972973, 1, 1, 1
300C02, 0.02702702702702703, 1, 1, 1
060D04, 0, 1, 1, 1
013604, 0, 0.6216216216216216, 1, 1
361C20, 0, 0.02702702702702703, 1, 1
110B08, 0, 0, 1, 1
282404, 0, 0, 1, 1
3A0701, 0, 0, 0.13513513513513514, 1
1F2508, 0, 0, 0.05405405405405406, 1
011840, 0, 0, 0.02702702702702703, 1
050402, 0, 0, 0.02702702702702703, 1
0C2D80, 0, 0, 0.02702702702702703, 1
1B0E01, 0, 0, 0.02702702702702703, 1
221704, 0, 0, 0.02702702702702703, 1
300D10, 0, 0, 0.02702702702702703, 1
0B2F10, 0, 0, 0, 1
151D08, 0, 0, 0, 1
253F40, 0, 0, 0, 1
273520, 0, 0, 0, 1
390401, 0, 0, 0, 1
3C2720, 0, 0, 0, 1
251F08, 0, 0, 0, 0.42857142857142855
150401, 0, 0, 0, 0.3333333333333333
3E0F20, 0, 0, 0, 0.2571428571428571
060608, 0, 0, 0, 0.1111111111111111
361508, 0, 0, 0, 0.11428571428571428
320C08, 0, 0, 0, 0.08571428571428572
010708, 0, 0, 0, 0.027777777777777776
031B08, 0, 0, 0, 0.027777777777777776
060780, 0, 0, 0, 0.027777777777777776
063408, 0, 0, 0, 0.027777777777777776
070601, 0, 0, 0, 0.027777777777777776
072702, 0, 0, 0, 0.027777777777777776
083004, 0, 0, 0, 0.027777777777777776
0A1580, 0, 0, 0, 0.027777777777777776
0F0580, 0, 0, 0, 0.027777777777777776
0F1602, 0, 0, 0, 0.027777777777777776
132801, 0, 0, 0, 0.027777777777777776
133608, 0, 0, 0, 0.027777777777777776
143C08, 0, 0, 0, 0.027777777777777776
182D40, 0, 0, 0, 0.027777777777777776
1B1E02, 0, 0, 0, 0.027777777777777776
1C1504, 0, 0, 0, 0.027777777777777776
200680, 0, 0, 0, 0.027777777777777776
212580, 0, 0, 0, 0.027777777777777776
212A01, 0, 0, 0, 0.027777777777777776
2A0C02, 0, 0, 0, 0.02857142857142857
