, 16384, 23170, 32768, 46340
352C01, 1, 1, 1, NaN
300C02, 0.29411764705882354, 1, 1, 1
013604, 0, 1, 1, 1
060D04, 0, 1, 1, 1
050402, 0, 0, 1, 1
0C2D80, 0, 0, 1, 1
110B08, 0, 0, 1, 1
1F2508, 0, 0, 1, 1
221704, 0, 0, 1, 1
282404, 0, 0, 1, 1
300D10, 0, 0, 1, NaN
361C20, 0, 0, 1, NaN
3A0701, 0, 0, 1, NaN
011840, 0, 0, 0, 1
031B08, 0, 0, 0, 1
060608, 0, 0, 0, 1
0B2F10, 0, 0, 0, 1
0F1602, 0, 0, 0, 1
132801, 0, 0, 0, 1
150401, 0, 0, 0, 1
151D08, 0, 0, 0, 1
1B0E01, 0, 0, 0, 1
1B1E02, 0, 0, 0, 1
200680, 0, 0, 0, 1
212580, 0, 0, 0, 1
213F40, 0, 0, 0, 1
221E10, 0, 0, 0, 1
232E04, 0, 0, 0, 1
233D10, 0, 0, 0, 1
251F08, 0, 0, 0, 1
253F40, 0, 0, 0, 1
260E80, 0, 0, 0, 1
273520, 0, 0, 0, 1
2A0C02, 0, 0, 0, 1
2A2610, 0, 0, 0, 1
072702, 0, 0, 0, 0.875
222D02, 0, 0, 0, 0.8125
143C08, 0, 0, 0, 0.6875
083004, 0, 0, 0, 0.1875
221D04, 0, 0, 0, 0.1875
010708, 0, 0, 0, 0.125
